Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
0,Curly Armstrong,180.0,77.0,Indiana University,1918.0,,,1.8,23.76543209876543
1,Cliff Barker,188.0,83.0,University of Kentucky,1921.0,Yorktown,Indiana,1.88,23.48347668628339
2,Leo Barnhorst,193.0,86.0,University of Notre Dame,1924.0,,,1.93,23.087868130688072
3,Ed Bartels,196.0,88.0,North Carolina State University,1925.0,,,1.96,22.907122032486466
4,Ralph Beard,178.0,79.0,University of Kentucky,1927.0,Hardinsburg,Kentucky,1.78,24.933720489837143
5,Gene Berce,180.0,79.0,Marquette University,1926.0,,,1.8,24.382716049382715
6,Charlie Black,196.0,90.0,University of Kansas,1921.0,Arco,Idaho,1.96,23.427738442315704
7,Nelson Bobb,183.0,77.0,Temple University,1924.0,Philadelphia,Pennsylvania,1.83,22.99262444384723
8,Jake Bornheimer,196.0,90.0,Muhlenberg College,1927.0,New Brunswick,New Jersey,1.96,23.427738442315704
9,Vince Boryla,196.0,95.0,University of Denver,1927.0,East Chicago,Indiana,1.96,24.729279466888798
10,Don Boven,193.0,95.0,Western Michigan University,1925.0,Kalamazoo,Michigan,1.93,25.50404037692287
11,Harry Boykoff,208.0,102.0,St. John's University,1922.0,Brooklyn,New York,2.08,23.57618343195266
12,Joe Bradley,190.0,79.0,Oklahoma State University,1928.0,Washington,Oklahoma,1.9,21.883656509695292
13,Bob Brannum,196.0,97.0,Michigan State University,1925.0,,,1.96,25.249895876718035
14,Carl Braun,196.0,81.0,Colgate University,1927.0,Brooklyn,New York,1.96,21.084964598084134
15,Frankie Brian,185.0,81.0,Louisiana State University,1923.0,Zachary,Louisiana,1.85,23.66691015339664
16,Price Brookfield,193.0,83.0,West Texas A&M University,1920.0,Floydada,Texas,1.93,22.28247738194314
17,Bob Brown,193.0,92.0,Miami University,1923.0,Versailles,Ohio,1.93,24.69864962817794
18,Jim Browne,208.0,106.0,,1930.0,Midlothian,Illinois,2.08,24.500739644970412
19,Walt Budko,196.0,99.0,Columbia University,1925.0,Kearney,New Jersey,1.96,25.770512286547273
20,Jack Burmaster,190.0,86.0,University of Illinois at Urbana-Champaign,1926.0,,,1.9,23.822714681440445
21,Tommy Byrnes,190.0,79.0,Seton Hall University,1923.0,Teaneck,New Jersey,1.9,21.883656509695292
22,Bill Calhoun,190.0,81.0,City College of San Francisco,1927.0,San Francisco,California,1.9,22.437673130193907
23,Don Carlson,183.0,77.0,University of Minnesota,1919.0,Minneapolis,Minnesota,1.83,22.99262444384723
24,Bob Carpenter,196.0,90.0,East Texas State University,1917.0,,,1.96,23.427738442315704
25,Jake Carter,193.0,88.0,East Texas State University,1924.0,,,1.93,23.624795296518027
26,Al Cervi*,180.0,77.0,,1917.0,Buffalo,New York,1.8,23.76543209876543
27,John Chaney,190.0,83.0,Louisiana State University,1920.0,,,1.9,22.991689750692522
28,Leroy Chollet,188.0,86.0,Canisius College,1925.0,New Orleans,Louisiana,1.88,24.332277048438208
29,Bill Closs,196.0,88.0,Rice University,1922.0,Edge,Texas,1.96,22.907122032486466
30,Paul Cloyd,188.0,81.0,University of Wisconsin,1920.0,,,1.88,22.917609778180175
31,Jack Coleman,201.0,88.0,University of Louisville,1924.0,Burgin,Kentucky,2.01,21.7816390683399
32,Bobby Cook,178.0,70.0,University of Wisconsin,1923.0,,,1.78,22.093170054286073
33,Ray Corley,183.0,81.0,Georgetown University,1928.0,,,1.83,24.187046492878256
